movie_title,movie_id,user_id,author,rating,timestamp
Red One,845781,Geronimo1967,CinemaSerf,6.0,2024-11-10T06:23:14.120Z
Red One,845781,msbreviews,Manuel São Bento,4.0,2024-11-14T08:59:04.133Z
Red One,845781,r96sk,r96sk,7.0,2024-11-22T00:57:04.040Z
Red One,845781,Wuchak,Wuchak,9.0,2024-12-16T23:20:17.237Z
Red One,845781,RalphRahal,RalphRahal,2.0,2024-12-21T11:48:01.022Z
Venom: The Last Dance,912649,r96sk,r96sk,7.0,2024-10-25T18:25:18.286Z
Venom: The Last Dance,912649,Mangoturtle,Mangoturtle,2.0,2024-10-27T14:01:38.601Z
Venom: The Last Dance,912649,Geronimo1967,CinemaSerf,6.0,2024-10-31T11:02:06.190Z
Venom: The Last Dance,912649,chandlerdanier,Chandler Danier,9.0,2024-12-10T04:22:01.874Z
Venom: The Last Dance,912649,MovieGuys,MovieGuys,6.0,2024-12-16T21:17:22.780Z
Mufasa: The Lion King,762509,r96sk,r96sk,8.0,2024-12-23T18:13:28.704Z
Moana 2,1241982,Geronimo1967,CinemaSerf,7.0,2024-11-30T10:01:26.914Z
Carry-On,1005331,aholejones,aholejones,1.0,2024-12-15T11:03:08.648Z
Carry-On,1005331,dumasori,dumasori,1.0,2024-12-18T07:16:58.728Z
Carry-On,1005331,RalphRahal,RalphRahal,7.0,2024-12-20T07:51:35.625Z
Carry-On,1005331,chandlerdanier,Chandler Danier,6.0,2024-12-21T15:11:32.074Z
Sonic the Hedgehog 3,939243,,,,
Dirty Angels,1043905,MovieGuys,MovieGuys,4.0,2024-12-14T20:07:56.330Z
Elevation,1035048,MovieGuys,MovieGuys,6.0,2024-12-05T07:01:38.862Z
The Price of Money: A Largo Winch Adventure,1000075,MovieGuys,MovieGuys,4.0,2024-11-30T22:58:37.659Z
Absolution,974453,,,,
Kraven the Hunter,539972,r96sk,r96sk,4.0,2024-12-13T19:19:25.023Z
Kraven the Hunter,539972,Geronimo1967,CinemaSerf,6.0,2024-12-20T08:07:59.233Z
Kraven the Hunter,539972,chandlerdanier,Chandler Danier,6.0,2024-12-21T15:02:00.005Z
Gladiator II,558449,msbreviews,Manuel São Bento,8.0,2024-11-14T08:50:23.907Z
Gladiator II,558449,Ditendra,Dean,1.0,2024-11-14T18:19:09.990Z
Gladiator II,558449,griggs79,griggs79,8.0,2024-11-15T10:44:36.828Z
Gladiator II,558449,r96sk,r96sk,9.0,2024-11-15T19:15:28.384Z
Gladiator II,558449,Geronimo1967,CinemaSerf,6.0,2024-11-16T08:14:36.854Z
Gladiator II,558449,DWP,DWP,7.0,2024-11-19T17:32:10.445Z
Gladiator II,558449,ChrisSawin,Chris Sawin,5.0,2024-11-20T01:01:33.492Z
Gladiator II,558449,GenerationofSwine,GenerationofSwine,1.0,2024-11-24T21:45:19.306Z
Gladiator II,558449,MovieGuys,MovieGuys,5.0,2024-11-26T00:18:06.993Z
Gladiator II,558449,Alacaea,Elif Duru Alaca,9.0,2024-11-27T23:38:44.141Z
Gladiator II,558449,chandlerdanier,Chandler Danier,4.0,2024-12-14T01:29:59.468Z
The Wild Robot,1184918,Brent_Marchant,Brent Marchant,7.0,2024-10-09T13:27:16.982Z
The Wild Robot,1184918,Geronimo1967,CinemaSerf,7.0,2024-10-20T16:54:44.216Z
The Wild Robot,1184918,msbreviews,Manuel São Bento,9.0,2024-10-27T08:53:27.484Z
The Wild Robot,1184918,BiankaMalburg,BiankaMalburg,9.0,2024-11-03T15:20:55.176Z
Armor,1182387,MovieGuys,MovieGuys,3.0,2024-11-26T03:39:37.330Z
That Christmas,645757,,,,
My Fault,1010581,Geronimo1967,CinemaSerf,5.0,2023-10-21T15:05:19.271Z
The Substance,933260,msbreviews,Manuel São Bento,8.0,2024-09-20T12:07:43.615Z
The Substance,933260,griggs79,griggs79,10.0,2024-09-26T10:51:28.161Z
The Substance,933260,Brent_Marchant,Brent Marchant,4.0,2024-09-28T04:58:03.527Z
The Substance,933260,Geronimo1967,CinemaSerf,7.0,2024-09-28T06:20:45.132Z
The Substance,933260,r96sk,r96sk,9.0,2024-10-10T22:58:49.032Z
